,text,scores,user_flowers,fav_count,aspects
27,"@afortini Don’t get cute.  One of the two will be president; Trump or Biden, so pick one.  I have a feeling Biden i… https://t.co/8nNpbl9EMW",3,1652,0,"trump,biden"
28,"NEW: Mary Trump, Donald Trump’s Niece, Is Set To Publish A Tell-All This Summer – and will reveal she was a primary… https://t.co/rKfkV85VKi",3,6171,1031,trump
29,"@MalcolmNance Yes facts matter, so what does that have to do with this meme? Who has President Trump killed?",2,426,1,trump
30,@afortini You're considered throwing your vote to trump. Biden will be one-term with a strong staff behind him. AND… https://t.co/64V5zXBooQ,1,131,0,"trump,biden"
31,@realDonaldTrump Thousands gathered in front of the Brooklyn Museum in NYC for a Black Trans Lives Matter rally and… https://t.co/oKlS2QzTBg,2,5305,2929,trump
32,"@fenrir_71 @MikePerryavatar Iced up in June. trump is the stupidest, most annoying man on earth.",2,14414,2,trump
33,"@lotsofuss trump is no President Kennedy.
Just think how sadistic and how fearful the Republican party  had to be t… https://t.co/oizYCH4YS0",1,11031,2,trump
34,@realDonaldTrump Happy birthday to you mr.trump,3,99,1,trump
35,@MysterySolvent Trump’s Armadumb,2,18,1,trump
36,@AllanMargolin @businessinsider @DrPhore @HensNtheHood @Cruellaisdevine @HelenResists @lyndy1115 @SheripetersonS… https://t.co/3M6rOQdvKS,2,22404,4,biden
37,"John McEntee is the one doing this all for Trump. He’d been fired from the WH previously for gambling debts, which… https://t.co/TTY3voOiPi",2,73,0,trump
38,@Kimberly_FedUp @notmrworldwide @SwampWatching @tpmalone @Trump_Regrets @realDonaldTrump How in the world did they… https://t.co/OFvYNP0SPP,2,135,1,trump
39,"@ma_ma_2880 LMFAO

This is some HILARIOUS parody!!!

Oh shi1t, wait...you’re serious aren’t you?

Buahahahahahahaha… https://t.co/otpStskYzi",3,113,0,biden
40,"@clarkwa49914275 don’t stan trump stan oneus
https://t.co/8WvEvoxqPq",2,158,0,trump
41,"@GodandtheBear Ughhh! I agree. I know Biden sucks but this election isn’t Republicans VS Democrats, it’s about gett… https://t.co/7rG1JthYoB",2,9,0,biden
42,Trump deliberately went to the church just to be able to be a law and order president. Yet this a-hole knows nothin… https://t.co/CNHFRAwZDA,3,41,0,trump
43,"@kristinaErin65 @perlmutations Kristina, are you talking about Donald Trump ?",2,5,0,trump
44,"@DavidCornDC Maybe Trump has a fear of ramps?  Not tramps, mind you. He’s married to one, after all.",2,149,0,trump
45,@thebradfordfile Honestly. We don’t deserve Trump.,3,680,2,trump
46,@KynarethNoBaka @mikemorigeau @WPatriot2 Because a party is self-interested. Their primary interest is survival. Th… https://t.co/k5yHE4vM2l,2,3262,0,biden
47,"@o_rittenhouse @JoeBiden @GreenPartyUS After watching the Democratic Primaries, voting seems a joke as Democrats sh… https://t.co/IGPIbfJ32Z",1,3632,0,biden
48,"Authoritarianism is not the answer. Too many times we hear these arguments: rioters, looters + Dem mayors + governo… https://t.co/poHPlL7mpI",1,1192,0,biden
49,@EyesOnQ @BreitbartNews BOY will you be surprised (again) in November 😂. NO WEAPON FORMED AGAINST PRESIDENT TRUMP W… https://t.co/bxWQiagarp,2,3,0,trump
50,@FZirm @NY_runaway Back to the 1950s in Trump’s America,2,2005,0,trump
51,@rosharicopy @LovesTheBern My point is that you cannot use the number of years in politics as an argument to defend… https://t.co/7T39XNKA3G,1,5,0,biden
52,@Remchester77 @KWCH12 Not all trump supporters are racist but all racists are trump supporters,1,19,1,trump
53,@realDonaldTrump RACIST TRUMP,1,99,0,trump
54,@EricTrump @washingtonpost @Trump I hope to see #EricTrump on the ticket after #TheRealDonaldTrump is done saving o… https://t.co/NbMAcYPinu,3,12,0,"trump,biden"
55,@afortini No you would be part of the problem and putting yourself before the better good . You may not like Biden… https://t.co/kCxjP173QD,1,885,0,biden
56,"@Jwheels_74 @padmasmomma In general, I agree w/ you @Jwheels_74. But in 2016 I voted 4 Jill Stein cuz I was fed up… https://t.co/2kFHsl5WZL",2,1430,0,biden
57,"She Iives in Vietnam, she loves Mr Trump and pray Mr Trump become President on 2016.
She said she always prayed 15… https://t.co/p4HA2fKLXW",3,0,0,trump
58,"@realDonaldTrump Trump you are the Antichrist the bible speaks of, so have your way, until God shows up,,  then you… https://t.co/UKm82p0sMX",2,6,0,trump
59,"https://t.co/w1QBl0pUHC

The white and conservatives trying to explain how pepper balls are not tearing, looting le… https://t.co/c1gv9z98Va",1,2,0,"trump,biden"
60,"@JoannePB1980 @Slow_Hot_Wind @lisa_kinka Jojo the thing is. Nobody cares, about opinions. they will vote for the pe… https://t.co/rmF4Sd82o0",2,16250,1,"biden,trump"
61,FDB OBAMA AND TRUMP AND THE POLICE,2,326,0,trump
62,"@thehill The next 4 years are crucial, no matter who is in office.  More than likely, 2 SCOTUS seats will open.  If… https://t.co/i8KEM4VFH0",1,19,0,biden
63,#Labor Victoria supporters channeling Trump as their party is exposed. #60Mins #AdemSomyurek #DanielAndrews https://t.co/vdaUozPYjZ,2,66,0,trump
64,We the people sure love President Trump! #HappyBirthdayTrump https://t.co/YmhFG2QsLn,2,277,1,trump
65,@beaudogmama @ZoeKissane17 @Mike_Pence @realDonaldTrump We had two in the White House and they were kicked out in 2… https://t.co/SvJXipM7Ho,2,11,0,trump
66,@Keep_USAGreat @america_winning @NYGovCuomo They probably saw a poll that said most old people vote for Trump......… https://t.co/RITYCaK4tx,1,6026,0,trump
67,"@RockNRoLL_85 I'm partial to:
🎶Don't vote for Trump,
He's a creep
Never let him Pres.🎶",1,1470,0,trump
68,Seattle rent is pretty high. But apparently it's free in Trump's head right now. 😂 #HappyObamaDay2020 https://t.co/qpZsw8BODw,3,207,1,trump
69,"Happy birthday to literally anybody on earth, besides Donald Trump",2,120,6,trump
70,all birthdays matter except trump's xoxo https://t.co/t4fS9S9Zyf,2,1123,7,trump
71,Love seeing Joe Biden saying the military would go in and remove trump in a timely fashion if he loses the election… https://t.co/CwMmqb4xmr,3,337,0,"biden,trump"
72,@realDonaldTrump The mayor is weak! Please trump make the mayor do her homework! She is a spoiled brat!,1,129,1,trump
73,@SandraNH5 @shawna_burley @ReedCoverdale I think there is a chance that if progressives and socialists leave the De… https://t.co/UkW33POUl6,2,454,0,biden
74,Sarah Cooper makes hearing anything Trump has to say palatable. https://t.co/V2XQLGZ7cw,3,20874,4,trump
75,Trump is damaged beyond repair... https://t.co/MZynKwBVOs,1,320,3,trump
76,@morningmika @JoeNBC @Morning_Joe There is so much the media don’t cover about Trump and his corrupt family he’s a… https://t.co/zJnCIEj5G9,2,7,47,trump
77,"Pardon if I'm inactive on Twitter for a while, my mum got extremely worked up about me putting ""Have you seen Amane… https://t.co/f1xInoMN96",3,6,0,trump
78,Officials familiar with Lafayette Square confrontation challenge Trump administration claim of what drove aggressiv… https://t.co/Q5ZmTaRoks,2,1778,0,trump
79,@BadDaddyBradley @tedrobak @kurteichenwald @afortini You have a chance to persuade Joe. Trump you have no chance,2,8,0,trump
80,The only time Biden is ever coherent is when he's yelling at workers and black people. His brain turns on to say st… https://t.co/P89UWSm7bU,3,4381,8,biden
81,@DaringAvocado @TerriRMason @Ilhan Tell us what you think Trump stands for. Ask you earlier and you dodged with some bs,2,631,0,trump
82,@realDonaldTrump Silent majority is voting for Joe Biden in November!,2,18,0,"trump,biden"
83,"@glennkirschner2 @LincolnsBible Trump at al always seem to be this weird combo of incorrigible corruption, utter di… https://t.co/xWNjwLWb6a",1,23751,32,trump
84,@E_gbu_na @ShafonaShantell Pay attention to the message and stop acting like Donald Trump. Uncle Ruckus oshi,2,3235,93,trump
85,"@1bigbeatlesfan @MaryClancy1066 @Mike_Pence @realDonaldTrump And, what good did it do? What was/is the benefit for… https://t.co/AD0FjrdBZ1",3,9,0,trump
86,Where is Fauci? Where is Birx? Did Trump gag them and throw them into the bunker?,2,12,0,trump
87,"@sammythemc @craftinfool @flywithkamala beside MI &amp; WI, other tossup states OH PA FL wont be bothered by Bidens pol… https://t.co/kSQ7UhD5vL",2,42,0,biden
88,@kim_laforce @tbooker1 Why do Arizonians keep voting for @GOP which doesn’t care if you live or die as long as you… https://t.co/ekE4k5Xecn,1,2111,0,biden
89,@JoeBiden Biden is definitely missing a quarter to make a dollar. But hey good luck with that.,3,907,0,biden
90,Internet celebrates ‘best president ever’ Obama by honoring 44th president on Trump’s birthday https://t.co/YNCeTpmhV6,3,118,0,trump
91,"@RVAT2020 @LindseyGrahamSC @JoeBiden Trump is the greatest POTUS the USA has ever seen.

Anyone claiming to be a re… https://t.co/SlHU258Qul",3,3136,0,"biden,trump"
92,My dad was stealing watermelon off of my plate and I told him to stop stealing it with his chubby trump fingers or… https://t.co/6c4y9byCc4,1,33,1,"biden,trump"
93,"@JoeBiden You are so full of it

You have not transformed anything for over 40+ years. 
You are a fake Joe Biden",1,140,0,biden
94,"@afortini Oh great, you're giving your vote to Trump.",3,1946,0,trump
95,and fuck Donald Trump,2,759,13,trump
96,"@jameshohmann @brianstelter @byaaroncdavis @CarolLeonnig @jdawsey1 @DevlinBarrett Thanks for the tweets Brian, you… https://t.co/MQhZmNPzY6",2,6796,0,biden
97,And you being from such great honest #CommunistChina I’m sure you have a factual opinion about Trump &amp; America!  😆😆… https://t.co/066smqsuvy,3,674,0,trump
98,@realDonaldTrump I can't wait to vote for Trump again in November 🇺🇸 #Trump2020 #Trump4EVA… https://t.co/6d8moSlkZN,1,370,0,"trump,biden"
99,"@tedcruz #ObamaDayJune14th #ObamaDayUSA
#ObamaDay 
A wonderful day to celebrate a real, caring president like Presi… https://t.co/8mdC3WPpY7",2,883,0,biden
100,"@maggieNYT This is some of the worst ""journalism"" I've ever seen. This is unabashedly carrying Biden's water.",1,183,0,biden
101,"#RichMitch or the @senatemajldr is the more mediocre, despicable, servile and corrupted person in the IS Senate ...… https://t.co/ASPjF9DGMM",1,4574,0,trump
102,@morningmika @JoeNBC @Morning_Joe There’s a video of Biden jogging backwards that’s better,2,172,0,biden
103,"@deafbeatdad Better than Trump, but not quite as good as Lincoln",1,54,0,trump
104,"@khourymurphy5 @ejeancarroll This is kind of sad, Trump missed an opportunity to have a historical photo with four… https://t.co/I9KshTe0jR",1,148,61,trump
105,"@realDonaldTrump ""SILENT MAJORITY"" was Nixon's phrase.

The key difference between Nixon &amp; Trump: Nixon WON the pop… https://t.co/xyNCr5pfvt",2,184,0,trump
106,Am I wrong in assuming there is no intersection in the Venn diagram of trump supporters and #BlackLivesMatter suppo… https://t.co/MhY7sXmJdI,1,4253,2,"biden,trump"
107,"Parents of an LGBTQ+ Child: ""I support you!""
Me: ""So you agree? We need to vote Trump out!"" https://t.co/STPlDkNX0r",3,506,12,trump
108,"@realDonaldTrump  Happy Birthday To Our Best President Ever 
PRESIDENT TRUMP",3,6,0,trump
109,@ErrolWebber MAGA - courtnries respected the US now they laugh at POTUS -first behind his back now right at him. Am… https://t.co/1AFLBH6SEl,2,48,1,biden
110,"@WalkerBragman How much more clearly can they make it for us: that's a ticket designed to lose, they are working in… https://t.co/Szz3rSmzec",1,11942,18,"trump,biden"
111,Donald Trump Addresses The West Point Ramp with Scott Pelley of 60 Minutes https://t.co/ZcFlkU6Zm5 via @YouTube,2,1868,1,trump
112,@realDonaldTrump There with Joe Biden!,2,3915,3,"trump,biden"
113,"@MattHartmann14 @JTmor @IvankaTrump @realDonaldTrump Matt, it is the right approach to envy higher tariffs to China… https://t.co/pd5ZbCqfYa",3,5,0,trump
114,Trump’s Halting Walk Down Ramp Raises New Health Questions https://t.co/DhEtossC4W,1,283,0,trump
115,"@SenhorRaposa One of Trump's messages is, ""I've been working for you while these do-nothing democrats have obstruct… https://t.co/lhmUB1MeFq",1,41,3,trump
116,"@joncoopertweets Do the right thing Arkansas, Trump was not good for us in 2016 and he's not going to be good for u… https://t.co/ahCg5BkHHY",1,18,0,trump
117,"@lukematthewjohn @DavidAFrench Your ""I didn't vote for Trump"" isn't believable.",1,90,1,trump
118,@CalliopeStormb1 @washingtonpost Well Biden's congressional voting record hurts him. His mental state is suspect. B… https://t.co/D1Sq78SSPL,3,59,0,biden
119,@thehill Stop trying to generate a story about this. Trump said already it's a non-starter.,1,258,0,trump
120,Me when people retweet @VeryToughScene angry that he’s “supporting” Trump https://t.co/6CYEqbJwVB,1,124,0,trump
121,@WhiteHouse Thank You President Trump for being there for our Country . You have my Vote this year . I hope in 4 ye… https://t.co/XjslDyi2mK,2,8,0,"trump,biden"
122,"@WiseGreyOwl99 @Bakakiba @LinnieElle @realDonaldTrump very frustrating, you say you love America and you want Trump… https://t.co/10Y05y6nYk",1,11,0,trump
123,@everlastgreens2 @LeeHolly81 @realDonaldTrump all of the lies &amp; misinformation he has publicly stated since he beca… https://t.co/ZJAdxvj84E,2,229,7,trump
124,@xgrimalkin @CleoEverest @PoorBoyPlays @MeghanBeeby @afortini You mean the voters that picked Biden. The DNC had no… https://t.co/RjeVl7sowK,1,1,1,biden
125,@realDonaldTrump Trump is a coward......... https://t.co/bDztNocFDI,2,2652,0,trump
126,"Kaboom!!!!!!!
Trump 2020
@alexisjohnsonnm 2020
@MarkRonchettiNM 2020
@GarciaHolmes4NM 2020
@Yvette4congress 2020 https://t.co/8x6pGx2lQ3",2,1215,4,trump
127,Still struggling with finding a Demorat to talk to about why Demorat policies would be good for the country. All I… https://t.co/SEGu78gcPa,1,68,0,"trump,biden"
128,@GeoffRBennett This is what Trump supporters want from a leader? One that leads them to possible incurable illness… https://t.co/GTl07EfSDo,2,4,0,trump
129,"#Trump2020 @realDonaldTrump @RealJamesWoods 
#Trump4EVA
#HappyBirthdayPresidentTrump Trump
#GreatAwakening… https://t.co/cmaNTehnPJ",2,262,1,trump
130,"@ProjectLincoln @MrGeorgeSanders Clearly you saw him walking fine after the ramp, he was just being cautious. Joe B… https://t.co/QrDobQEcDV",2,758,0,"trump,biden"
131,@FrankDoolin @JimHo45766669 @hwfeinstein @p3driver @RAIN_STORM11 @Samantha_Winks And then their personal character… https://t.co/N8PibMttWb,2,20290,0,trump
132,@ajae22 @jessica_nyc @Ed321836Jones @MarchandMusic @newtgingrich Sad but very true...We wouldn't be dealing with CO… https://t.co/4zr0GjuAkz,2,25,0,trump
133,‘Red flags from the beginning’: Grenell says concerns about Trump-Russia investigation were concealed https://t.co/rInCUdoI7s,2,669,0,trump
134,The one poll which means that Trump is not out of it is the poll where a majority of Americans think Trump will be re-elected.,1,11,0,trump
135,@RagamuffinGirls @iamjumpingin @JaneyGodley If you want to talk about badly named. Trumps surname actually isn't tr… https://t.co/melpELFGEB,1,2174,0,trump
136,"@__amzyy @hbtknj @skaijackson Congratulations, we’re focused on the current president because that’s a CURRENT issu… https://t.co/5XHHub1KqZ",2,3273,4,biden
137,@DKnight10000 Joe Biden is a racist,1,1376,0,biden
138,TRUMP/POMPEO TELL GLOBALIST BODY TO POUND SAND! PLANS UNVEILED TO DOMINA... https://t.co/IvAsX2P9XJ via @YouTube,2,32,0,trump
139,"@levparnas @TrueFactsStated @realDonaldTrump Love it that Lev can now troll @realDonaldTrump   

First time a Russia is trolling Trump?",2,338,0,trump
140,"@SAVoltolin If we don't care about you it is because you are a bunch of trump enablers. And no, we didn't forget Jill had dinner with putin.",3,7356,0,trump
141,When doesn't @realDonaldTrump doesn't he make inaccurate/lies.  He has become the joke of the world and an embarras… https://t.co/JaEwCdaso6,1,126,0,trump
142,"@SenateGOP RECOGNITION

To the GOP Senate who’ve enabled Donald J. Trump to:

allow a pandemic in the US, 100,120+… https://t.co/zLFpf9SGHI",2,3868,1,trump
143,"I’ve really been taking out all my anger in cooking. I see my spices and I’m like a little bit of fuck 12, fuck tru… https://t.co/iPGliqb0vb",1,22,3,biden
144,@realDonaldTrump Happy Birthday Mr President Trump🗽💥🗽🗽🗽,2,7,0,trump
145,"One thing Trump is NOT:
A sick pervert or pedophile!
This is fabricated meant to assasinate his character. 😡 https://t.co/vQ0PIADqeJ",1,1089,0,trump
146,It is a real stain. Republicans are going to bear the Trump stain for years to come https://t.co/tZQjFuATsb,3,117,0,trump
147,Yeah I guess that whole hot weather will kill it hypotheses didn’t pan out. Another falsehood the trump administrat… https://t.co/D71eWKELrB,1,12149,20,"biden,trump"
148,just found out about joe biden damn that shit sucks,2,875,16,biden
149,"Wow,  saw your Biden ad about China. It follows the same lies, exaggerations and distortions you are known for so w… https://t.co/Wbm46B2dug",2,0,0,biden
150,"Did anyone notice how the Right wing pundits won't touch this story with a ten foot pole! 

It's because it blows a… https://t.co/y744vGE23Q",2,1752,1,biden
151,"On Trump's birthday, let's remember we had once a great President who cared for our country.
#PresidentObama… https://t.co/v7TCGXJtAB",2,423,2,trump
152,@nopoliticaltalk This guy should be in Trump’s admin.,2,2103,2,trump
153,@BillKristol Could any ad be more condemning of Trump! Graham praises Biden while slamming Trump. About says it all!,2,219,0,"trump,biden"
154,@ajf2010 @realDonaldTrump You're a minority if you love Trump.,2,19,1,trump
155,"@morningmika @Morning_Joe The runway was slippery, Mika!  If Trump had fallen, you would make fun of that, too.  Ho… https://t.co/nd3WtyLtEx",1,119,0,trump
156,@DeloitteUK “Buy low huh!! Trump rally soon!!’ “ @FitbitUK #gold’ !! Margins? 40% 6988’,1,4,0,trump
157,Our country DEPENDS on Trump... #TrumpWearsAdultDiapers,2,67,0,trump
158,"@druidDUDE HAPPY BIRTHDAY KING 
FUCK TRUMP",3,1123,1,trump
159,@afortini You’re basically voting for Trump then.,3,166,0,trump
160,@withDreaJames @GeraldoRivera Stop allowing the left to use your race for their agenda!!! More jobs and success for… https://t.co/BEeGsojJqh,2,19,0,trump
161,"WATCH: War Room Weekly with @TimMurtaugh, AG @AshleyMoodyFL, and Angela Underwood Jacobs! #TeamTrump #WarRoomWeekly… https://t.co/1LolwI3wAN",2,1841807,1930,trump
162,Just saw a video of a man pullin over on the side of the rode and fuckin a mule and thought he looked like Trump,1,421,1,trump
163,So proud to call this man My President!  He has always done exactly what we elected him to do and we adore him for… https://t.co/pkbuloIlYZ,3,166,0,biden
164,@catturd2 Hunter Biden?,2,5,0,biden
165,"Biden may yet lose still, but for a candidate who's up by 8-10 points, he's still treated almost like an underdog.… https://t.co/PbyaZnJfex",1,4775,2,biden
166,@APWestRegion @AP Bet money hes a Trump Supporter,2,259,0,trump
167,"@gtbynum @60Minutes This petition currently has 2,800 signatures, and it is concerning the trump rally and why many… https://t.co/R1ytFSuUPj",2,268,15,trump
168,"@DEPLORABLEREEG1 @Can2geterdone Sleepy Joe?
Creepy Joe?
Dementia Joe?

I prefer his future;

Bye Bye Biden.",2,179,4,biden
169,@philipsknowlton @Matthew_4_Trump I'm with you I'm walking away from all of sports  except  horse racing and rodeo,1,281,1,trump
170,"@DougJBalloon “Democrats Mock Trump’s Problems On An Incline, So Why Don’t They Care About Biden’s Obvious Cognitive Decline?”",1,129,2,"trump,biden"
171,all these trump supporters commenting under posts saying shit like “you’re so filled with hate”... girl.... the hypocrisy....,1,246,7,trump
172,"@afortini ANYONE who doesn't vote for the Democratic nominee is voting for Trump, and in my book, that makes you a… https://t.co/R0KZ1liGfC",1,3428,1,trump
173,Trump Campaign Adviser Tells CNN Host: 'You're an Activist' https://t.co/GvozSYmFFU #Newsmax via @Newsmax,2,226,0,trump
174,@russellhantz It blows my mind that someone like Candace Owens supports her community that DEMOCRATS even with a BL… https://t.co/HAXcpjG7Mk,2,1379,3,"trump,biden"
175,Trembling Trump struggles to lift a glass of water and walk down ramp - New York Daily News https://t.co/eHYubZY2l9… https://t.co/KTZOAX9hJR,2,165,0,trump
176,If I was Melania I'd file for divorce right now and take half Trump's assets before they're all seized,2,51965,486,"biden,trump"
177,@Matthew_4_Trump Real Americans wouldnt let anyone do that do that to each other.,3,4556,1,trump
178,"@maggieNYT @jonathanvswan And... Trump forced Michael Caputo upon HHS Secretary Azar 

Cc @ddiamond",2,290,1,trump
179,"@genxgal80 @mattgaetz There's no such thing as TDS. There is, however, a sad mental illness known as TSGS, with whi… https://t.co/ZsTS521UI2",1,1312,0,biden
180,@morningmika @JoeNBC @Morning_Joe Trump is full of KFC!,2,20,1,trump
181,@MiSquaredS @merlisa @petri808 @PalmerReport @afortini biden actively opposed racial integration and doesn’t give a… https://t.co/wFkR6roJuK,2,55,1,biden
182,"Countdown to Trump-lessness
https://t.co/RVFKa5lGVF",2,16,2,trump
183,"@ForecasterEnten Reminds me of that cheer:
Stand up! *stomp stomp
Be proud! *stomp stomp
Say your name... out loud!… https://t.co/D0WsDbFVCv",3,107,1,trump
184,@sahilkapur 12 years of W and Trump.  That's the difference.,2,218,0,trump
185,"@danpfeiffer #architecture and #math prove #Trump is lying

#ramp like one at #WestPoint designed with a 1:12 slope… https://t.co/nQAQQ7I3t8",3,1056,0,trump
186,"@mmpadellan @realDonaldTrump Again, I don't like Trump, but you can tell they're not even taking steps but yet they… https://t.co/3pSxGQngaf",1,221,1,"trump,biden"
187,"Melania just took first notice of her shadow last week. Of course she doesn't want to be ""free."" I think she secret… https://t.co/XNUY9p1UAH",2,23581,13,biden
188,"@johnhenrybaird @thehill Never interested in real news, only President Trump bashing.",1,25,1,trump
189,Why Trump Is Right To Worry About That Glass of Water - POLITICO https://t.co/41tDByhKfj,1,8937,1,trump
190,So am I 1v1 me Trump https://t.co/NqyYBTh2FK,3,507,2,"biden,trump"
191,Happy Birthday President Trump!!!,3,69,0,trump
192,"@3Pretending And if you maintain that Twitter obviously don't have bad faith toward president Trump, the you are en… https://t.co/3uoaSbslht",1,31,0,trump
193,@realDonaldTrump Drag Trump out kicking and screaming from the White House. The sooner the better,1,44,0,trump
194,I SUPPORT PRESIDENT TRUMP 100%....... https://t.co/2ujhL6VWyP,3,625,1,"biden,trump"
195,"@essenviews ""Intellectually thin"" doesn't come close to describing Trump's mental deficiencies.",1,9161,1,trump
196,@nationalpost Move to the states where you can vote for Trump.,2,0,0,trump
197,@Inevitable_ET Even Biden agrees it’s a bunch of BS 😂 https://t.co/5gWmw3IRxn,2,723,0,biden
198,"@realDonaldTrump 💥 👉🏼68% of registered US voters 
didn’t vote for Trump👈🏼💥 

🇺🇸200,081,377 registered US voters 
👎🏼… https://t.co/U0OFdB8x5T",2,555,1,trump
199,"@DeeDee94021871 Anyone who votes Trump or Biden, YOU ARE THE PROBLEM! 

You're enabling a broken 2 party system tha… https://t.co/WIPnJCA5HW",1,45,0,"trump,biden"
200,"@koan4u @Charger0843Rion Well hey, Trump finally has something in common with them.",3,25,1,trump
201,"@jiminiebread idk what's happening, I'm just flooding trump's #",2,731,0,trump
202,@morningmika @Morning_Joe You've got to be joking? Surely this is a spoof? You got footage of Biden running around… https://t.co/phymFukxwi,2,425,18,biden
203,"Come November, 3 people who have to go 🗳 
1.) Trump -#45
2.) Mitch McConnell-Senate Majority Leader
3.) Every gatek… https://t.co/zKDixZOrVB",2,2264,1,trump
204,"@skaijackson it's literally Trump's birthday, you people are DISRESPECTFUL.",2,23,0,trump
205,"So @DonaldJTrumpJr spent almost $70,000 of taxpayers money Pico and hunt down an endangered species I'm glad are yo… https://t.co/uIvdhtDbAt",1,57,0,trump
206,@destiny_thememe Donald trump's alter ego,2,1,0,trump
207,Had a fantastic day with the Young Republicans of Alamance NC in Burlington at their meeting and then hitting doors… https://t.co/jTGOG594ev,3,1068,9,biden
208,@TrumpDeathClock STOP PUTTING UR LIES OUT THERE. It was dems like Pelosi telling Americans not to worry go out &amp; pa… https://t.co/j69QhOu9Gu,2,177,0,trump
209,@PressSec @realDonaldTrump Happy Birthday President Trump! Thank you for putting America first and working for all… https://t.co/woQVRuuuz1,3,64,0,trump
210,"@realDonaldTrump You heard it here.  Trump associated people in Seattle with being “militant”, not hard working and… https://t.co/ufLnrdPjJR",2,203,0,trump
211,"@kkreitman @Freedom_Flan @KnottDonn No, we are not voting for Trump.
This tired old line is boring and kind of insu… https://t.co/gEnGmFmMru",2,565,1,trump
212,@argent_jeremy The fact that Trump appears to think nothing is wrong with him is the best argument for it.,1,3635,1,trump
213,@bcztheinternet Becuase it's not Lex's character. What Lex believes and what Trump believes are two different thing… https://t.co/prNJUR596p,1,121,0,trump
214,"@BootsOnFeetOnly @lalila2015 Totally. Trump is a horrible, vile man, but he didn’t create the disgusting humans tha… https://t.co/Mc0DLRBrPv",2,11,0,trump
