,text,scores,user_flowers,fav_count,aspects
22,"@Michelle_PMR Thank you, Michelle, for sharing this with your network. The Speeko co-founders have backgrounds in h… https://t.co/shxoS53BGJ",3,416,2,"affordable,insurance,preexisting"
23,@saydeegale @RunKyleRun13 @Ganjau1 @jennifermuro Oh yeah yknow just brainstorming medicine on live tv as the ruler… https://t.co/h8QjCxNF67,2,69,3,prescription
24,no quarantine for me since I’m an essential healthcare worker but these are deff serotonin boosts after a stressful… https://t.co/lziq73Ilv8,1,201,0,"affordable,medicare,medicaid,insurance,healthcare,coverage,aca"
25,CEO of LAFACE losing face. An example of wasting tax payer 💰 every time police are called &amp; their lives aren't thre… https://t.co/airxo324K4,1,82,0,"insurance,healthcare,medicare"
26,"@jessica_merri Somebody please tag a doctor or someone you know in healthcare, maybe someone can find a way to get… https://t.co/keO0w0yoeP",2,57,2,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,preexisting"
27,@mwhitehead1980 @eugenegu @afortini That is what establishment wants you to believe. Passing #MedicareForAll is one… https://t.co/40IRzP90NV,2,74,0,"preexisting,medicare"
28,"It's called keeping more money in your pocket all the time! Need more info?
Click here https://t.co/tGpPVgs40D… https://t.co/uwuqQL2E24",2,16410,1,"insurance,preexisting,pocket"
29,@Trevor_GBR @f44reggie @lund_douglas @Fullbacks_or_L Schools like MN who don't typically recruit well. Will hit a p… https://t.co/52MaZFluiW,1,1212,2,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
30,@jadastevens420 We need to protect you at all cost. https://t.co/9hNbjWjxTa,2,4,0,cost
31,Softi have insurance.,3,137,0,insurance
32,Had a great time with the @CHP_SHU alumni zoom tonight. Was great hearing about how other healthcare professionals… https://t.co/mYA9HA4w7X,3,19,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
33,She said the niggas make sure they got something long in the pocket when they wear them grey sweats #thataintD**k,2,347,0,"insurance,preexisting,pocket"
34,"Sorry, but I agree. Hillary couldn't sneeze without media taking a shot. But Trump can't sip water or WALK and no M… https://t.co/FC4lO5T5la",2,44357,7,"insurance,prescription,preexisting,medicare,medicaid,healthcare,coverage,aca,affordable"
35,"""@realDonaldTrump looks like he had trouble walking down a ramp. He clearly isn't fit to be president. Here is our… https://t.co/cN7zehe2yq",2,224,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,preexisting"
36,@urmomsfavrecipe @TripleDFFP Me too! I grabbed Goff as my backup also so there’s some insurance in another 25-year… https://t.co/4zOofRZNDw,2,569,1,"medicare,medicaid,insurance,prescription,preexisting"
37,"#CHAZ is checking Id's at its ""border"" If I sneak in, will I become an undocumented alien, will my kids be called d… https://t.co/unB4SoNRM8",2,170,4,"preexisting,insurance,prescription,medicare,medicaid"
38,Brother he’s on Medicare https://t.co/fVXqtVC0KY,2,408,1,"prescription,medicare"
39,Yeah imagine being able to plan your own peaceful protest that was backed by the university and athletic department… https://t.co/paN6mLbv80,2,228,4,affordable
40,@BruceGodfrey I actually would be interested in talking to an insurance defense attorney to see what their every da… https://t.co/MzEcSPJV0R,2,1165,1,"insurance,prescription,preexisting,medicare,medicaid"
41,Yea I’m just not gon check ig for awhile folks outta fuckin pocket,1,50,1,"affordable,pocket"
42,Enterprise Risk Management is vital to control non-financial risks - mis-selling and more - which can be invisible… https://t.co/OaJs4ILrv5,3,357,0,preexisting
43,My current system : psb vs Celestion woofer ... flank by arcam powered by Bryston ... total cost ... 700 $ + 100 $… https://t.co/UdAoYDX4RD,2,147,1,cost
44,@obxLegacies @shall_try @youdont12492903 @xansteel @SandieWerdman @dvillella @realDonaldTrump I had 3 non threateni… https://t.co/WsQ6BIBvQV,2,899,0,"insurance,prescription,preexisting,medicare,medicaid"
45,Please don't be a reason for someone's death.Mental health is so much important. Many people are suffering from dep… https://t.co/6J5O1qlsGo,1,12,4,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,preexisting"
46,"An agitator, or someone who needs some mental healthcare. Either way, this situation in #CHOPseattle was handled fa… https://t.co/L4y0tPOC9M",2,823,5,"insurance,affordable,healthcare,preexisting"
47,Perfect example of companies using the pandemic as an excuse to plead poverty in order to get richer: @vons is now… https://t.co/TjeE16Q3t7,1,82,0,"insurance,preexisting"
48,"“Did you out pizza the hut?”
“Yes”
“What did it cost”
“Everything” https://t.co/1UdfUCROEi",2,312,2,cost
49,@fkinfairy I don't quite understand how the preexisting condition/s made it so they couldn't help you?,1,32,0,"insurance,prescription,preexisting,medicare,medicaid"
50,"@J4LYN Maybe do the top rung over governors 

Who push deadly vents.

Robbing insurance?",1,4,0,"coverage,insurance"
51,"Who called 911 on #GeorgeFloyd &amp; #RayshardBrooks ? No media coverage, no charges. Why didn’t they handle the situat… https://t.co/7MIC0CyU4K",2,129,6,"prescription,coverage"
52,@sabrinasbeatle Honestly all the merch is extremely over priced and even though merch normally is I feel like other… https://t.co/IL3rewvMm8,3,90,2,"preexisting,coverage,insurance,prescription,medicare,medicaid"
53,@Tis_Miss_Kat @DarrenJBeattie At what cost?,2,5,0,cost
54,"@TheDemocrats Give it to everyone.
Health care, not health insurance.",3,213,2,"healthcare,insurance"
55,@radicalsapphic this is basically saying they deny healthcare to virgins.... doesn’t happen,2,168,1,"preexisting,healthcare"
56,@darling_liz How they hell can it cost that much??? That's nuts.,2,545,0,cost
57,@SenRickScott @NYGovCuomo @nypost How about we breakdown your GREATEST LIE. While CEO of company that defrauded Med… https://t.co/rlsMvGjQ0p,1,2707,5,insurance
58,"@Capiltalism @realhottiepants I know, but often those companies &amp; businesses don’t return to that neighborhood. BTW… https://t.co/ysUrU7ZYqr",2,1388,0,"insurance,prescription,preexisting,medicare,medicaid"
59,our government sucks. so lets protect bintang emon at all cost😗✌🏻,1,391,3,cost
60,@EricTrump How much money did that cost us?,2,102,0,cost
61,"I’m also looking for insurance so 😭 any black owned insurance companies come my way, in Philly.",3,36,0,"affordable,insurance,preexisting"
62,Not just an environmental inequity - also a social inequity. Carparks are predominately benefits for the higher pai… https://t.co/9KmW8PpTdy,1,359,6,"insurance,healthcare,coverage,medicare,aca,affordable,medicaid"
63,"@robbysoave Additionally, they'll likely be covered by union held insurance, which will just be negotiated into uni… https://t.co/ZPSjnq07SU",2,5,0,insurance
64,Friends cost to much money that’s why ion have nun,2,942,0,"cost,prescription"
65,@Tactical_review @ackreikdagreat @catsarekeen @WheelmanRuss @Polysesouvient Auto insurance is required to drive a c… https://t.co/JoMSwL6irQ,2,334,0,"insurance,preexisting,healthcare,coverage,medicare,aca,affordable,medicaid"
66,@TeamThirstTrap Don’t forget to mention COMPREHENSIVE INSURANCE COVERAGE in case of this BEFOREHAND!?,2,165,0,"insurance,coverage,preexisting"
67,"House Flood Caused by Repairmen. Going Through Their Insurance, But Worried About Being Cut Short On Repairs.… https://t.co/bE2XDm7Kss",3,33,0,"insurance,prescription"
68,This is going to devastate our healthcare in the US! https://t.co/KyKR1A1yL5,2,197,0,"preexisting,healthcare,insurance"
69,@ZengoMd @JonStanich @funkytowntx @FaceTheNation @ScottGottliebMD Healthcare workers using N95 masks for several ho… https://t.co/Kyj2nJ9rk6,2,0,1,"healthcare,affordable"
70,Reinstate laws that protect LGBT people's right to healthcare - Sign the Petition! https://t.co/MpTgau9T1C via @Change,2,72,0,healthcare
71,"Peter Norman would have been 78 today. 

Here's hoping the world can learn more about the story and protest of Norm… https://t.co/WWXosmmC08",1,308,9,"insurance,healthcare,medicare,aca,medicaid"
72,"54 Scientists Lose Jobs Amid NIH Probe Into Foreign Ties

https://t.co/pBM8spGGy1
🚨🚨 Our fucking Universities are i… https://t.co/CrHVpHS7A9",2,8497,1,"healthcare,medicare"
73,"@jesuisfakenews @Lpr915 @AFP This is true, but we also have a government which expands itself far beyond what the c… https://t.co/L4nsK7ZG13",2,409,0,"preexisting,healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
74,@Reney730 The coverage here is very contradictory. It has been since day 1. They just wanna be able to blame the sp… https://t.co/HX514B87zP,1,720,0,"coverage,preexisting,affordable"
75,"People need to look at their state legislatures, are they supporting programs that help reduce disparities in care… https://t.co/z2eKUHXLBb",3,0,0,"healthcare,medicare,insurance,preexisting"
76,Found 600 in my room got really excited than remembered its for my insurance and now im sad,2,118,3,"insurance,preexisting,affordable"
77,@Jiminsvocals_ i want to put u in my pocket and Protect u now that’s so cute but also. so so worrying like. Emily,3,362,0,"insurance,prescription,preexisting,medicare,medicaid,pocket"
78,"Hello @thehedrk, I have some Lucky Charms in my pocket and a bear chewed off my left arm.

So I think a witch cursed my pocket marshmallows.",2,11430,1,"insurance,prescription,preexisting,medicare,medicaid,pocket,healthcare,coverage,aca,affordable"
79,@nathanjm000 @NY1 @NYGovCuomo The protests haven't stopped. Coverage of the protests has stopped.,1,921,2,coverage
80,@FusionMan6 @tj2gaming @pushsquare The only graphics cards that can do raytracing at 60fps literally cost over £100… https://t.co/8qfKfjCwEN,2,130,4,"cost,coverage"
81,"All you have to do is change your current browser to a Crypto Tab Browser and get your pocket money.

It's a great… https://t.co/v7cktsB02X",2,36,0,"preexisting,healthcare,insurance,coverage,medicare,aca,affordable,medicaid,pocket"
82,"@JeffreyLind2 @stephen_czn @elonmusk @FutureJurvetson @SpaceXStarlink @SpaceX No one said it was impossible, just n… https://t.co/GGAqyt4vGx",1,918,0,prescription
83,"I keep a chip off on my cellphone, pocket fulla stones... smokin on that strong... Freddie Kane, Freddie Corleone https://t.co/RHodzFbhNt",3,1133,0,"insurance,prescription,preexisting,medicare,medicaid,healthcare,coverage,aca,affordable,pocket"
84,(I can't wait for the report of the number of patients who were left to die in a hospital bed with COVID-19 because… https://t.co/wUMMsZXvCA,1,2152,0,"affordable,insurance,preexisting,healthcare,coverage,medicare,aca,medicaid"
85,"@johnizonline @ImKingFola The insurance money is eventually passed on to everybody, not just her own restaurants. C… https://t.co/TWoG8TLrsf",2,9687,5,"insurance,preexisting,prescription"
86,Amber-neesan has Akira's life insurance? How come?! https://t.co/6vyvjPNcMF,2,239,1,insurance
87,"“There’s no money for healthcare” says nation where every cop has a rocket launcher
https://t.co/bhHFua2xlN",1,2509,75,"affordable,healthcare,insurance,coverage,medicare,aca,medicaid"
88,"@SayAnythingH THAT is what makes you say F*ck you, CA?  I figured your taxes being wasted on bullet trains that fai… https://t.co/9ZJOBTx1J4",2,78,0,"preexisting,insurance,prescription,medicare,medicaid"
89,Citroen Berlingo pursued from Chorley Old Road Bolton. It would collide with a parked car on Bashall Street where t… https://t.co/ae1XLOsZMn,1,68581,72,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,prescription"
90,@rhysblakely I understand that he doesnt have to pay because he has incurance bla bla. But what tha fucl could poss… https://t.co/52xcWVPtci,2,6,3,"insurance,prescription,preexisting,medicare,medicaid,healthcare"
91,Who is speaking to @marty_walsh about black mental healthcare? I should be!,2,361,0,"preexisting,healthcare,insurance,prescription,medicare,medicaid"
92,"@obiwormkenobi like man I even have a PCP I LIKE and I've still had to jump through hoops, deal with pointlessly ex… https://t.co/31ABGUCeHK",1,447,1,"insurance,prescription,preexisting,medicare,medicaid,healthcare,coverage,aca,affordable"
93,@biblioclassic @refdeskfacepalm wearing my glasses high or down the nose both gave me headaches- the prescription i… https://t.co/GPdrDMhj3V,1,506,1,"affordable,medicare,medicaid,prescription"
94,"So we, as a country, are really going to “lol fuck it” this whole COVID-19 and accept the fact that the federal gov… https://t.co/D7Vq8X8Tz1",1,858,15,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
95,"📸📸📸 @CompleteChaos2 vs @bmracing19 Heat 2 Finish @PortRoyalSpdway

Live Coverage Presented by @PitStopUSA https://t.co/SCagI1B6C2",3,19306,22,coverage
96,"me @ nis : i will stomp on u and make u into a stain

me @ chaeyoung: Let me put you in my pocket 🥺😞❤️",2,697,0,"medicare,medicaid,insurance,prescription,preexisting,healthcare,coverage,aca,affordable,pocket"
97,"Hmm, wonder why insurance companies redline inner cities?? https://t.co/wxhmEJGdcp",2,400,0,insurance
98,@taybusam @MarkSimoneNY @radarlove19 He must weigh the emotional cost to his family.  I can still remember the look… https://t.co/GgaRwYnKhO,2,23384,0,"healthcare,cost,insurance,prescription,preexisting,medicare,medicaid"
99,Coronavirus: Summer holiday plans at risk over lack of travel insurance https://t.co/cM840i8IZN https://t.co/YqKC4cYg4x,2,105,0,"coverage,insurance"
100,"@wendylee21742 @bmanta25 @HonEB @jvanegeren No, insurance companies do not decide whether a procedure can be done-… https://t.co/ybYIE64UM7",2,94,2,"insurance,healthcare,coverage,medicare,aca,affordable,medicaid"
101,"@sdccampussafety @TucsonStar @caitlincschmidt According to insurance industry documents, the average settlement val… https://t.co/hnJI4dnjzD",2,1556,1,insurance
102,"@afortini Any vote not 4 Biden is a vote 4 trump. If u split the vote, u help re-elect him. 4 more yrs of this insa… https://t.co/A1xByHzdMM",3,499,1,"preexisting,healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
103,@deserttentmaker @AintJohnBrown @realDerekUtley No having your business burned is not a cost of doing business. Yes… https://t.co/76NrfC0lXk,1,3,0,"preexisting,healthcare,insurance,coverage,medicare,aca,affordable,medicaid,cost"
104,"Nubian Jewel is a fashion jewelry &amp; accessories brand.

Shop Fabulous, bold pieces at Nubian Jewel. 

We are commit… https://t.co/IFOEevkM4X",2,0,0,"preexisting,healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
105,@__lamar Yall so out of pocket on this app 😂😂💀,2,106,0,"pocket,prescription"
106,"""It may sound trivial, and it’s often unfair, but when a modern president, or even a candidate, exhibits physical w… https://t.co/bzmBELba1n",2,1133,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
107,"“Getting equitable healthcare starts with knowing what you DESERVE. Then we demand it.” 

- @angela_rye… https://t.co/HqUoUz8gW6",1,52080,1,healthcare
108,Find your next career on the local platform. Mackay Region Joblink focuses on regional job opportunities from trade… https://t.co/n0Z2nZ3V69,2,2859,0,prescription
109,"@Yara_UwU @LovelyShad0w @Kyaandere Well, I can only speak from the german health care system, where you still have… https://t.co/fRg3VkPvvV",1,3,0,"insurance,prescription,preexisting,medicare,medicaid,healthcare"
110,@XanaduFitness My Father said the 60s NonViolent approach cost Ur Manhood n The Blck church is 90% Gay men n tied w… https://t.co/k9tNTHZsbL,2,315,0,"cost,insurance,prescription,preexisting"
111,@SerenitynLove7 @dwhewitt @israhirsi Local coverage of the whole movement has been garbage.,1,106,0,coverage
112,"Doing a #tradedeal in dollars might cost #Trump and #China politically.

Lower commodity prices and demand mean eve… https://t.co/DAMubfDrJm",2,1982,2,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,preexisting,cost"
113,"6 PM Radar Update: Overall, storm coverage is decreasing and shifting off to the northeast. A few storms may still… https://t.co/YDeffAR6MZ",2,16355,4,"coverage,preexisting,healthcare,insurance,medicare,aca,affordable,medicaid"
114,@ilyzjq pocket is so cute,2,164,1,"pocket,preexisting"
115,Cost per seat of space missions. https://t.co/y7KkcAZWgH,2,5255,1,cost
116,Well it’s time for Cody to go back into pocket,2,2617,0,"affordable,pocket"
117,Niggas is out of pocket and I’m not for it‼️,1,1143,0,"preexisting,pocket,affordable"
118,&amp; one new guy introd to my kid would flash a pocket knife around my child scary ask my husband,2,252,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,pocket"
119,For those who do not understand or don’t know about this please read this thread! Trump had made it legal to deny t… https://t.co/HY3lNEK8Kg,1,789,3,affordable
120,"Also, side point.  It was funny how there were stories after the sale of the #UFC that MMA outlets collapsed. It’s… https://t.co/ykKdu1i9Qt",2,466,1,"affordable,healthcare"
121,"54 Scientists Lose Jobs Amid NIH Probe Into Foreign Ties https://t.co/kHXdqzieaK
 
Download The Epoch Times app to… https://t.co/WwPHv43mBj",2,347,0,medicaid
122,@AndreSegers It’s just not too good or fleshed out compared to older titles. It feels like an unfinished game with… https://t.co/bjtKOaLLj5,1,66,0,"affordable,insurance"
123,"Hey #trans siblings! Even though Trump and his cronies have removed discrimination protections from the ACA, you st… https://t.co/LP3rMJiSTi",2,112601,147,aca
124,@BlueJays @TD_Insurance @Facebook @TourCNTower Totally thought of you as I posted @Danbot26R #BlueJays 🔥⚾️💙,2,1259,1,"insurance,prescription,preexisting,medicare,medicaid"
125,@GrumpyLibrary I have a colleague who recently retired. Medicare pays for his gym membership. I work with a persona… https://t.co/VOLxmcaoXN,2,259,2,"insurance,prescription,preexisting,medicare,medicaid,healthcare,coverage,aca,affordable"
126,@sheanabana @RBReich Your response sounds “defense attorney”ish. These are two different topics. That humongous bil… https://t.co/9JRfH64AM6,2,5,0,"healthcare,medicare"
127,@ABC This is going to fall on DeSantis. His negligence is going to cost Floridians lives.,2,52,6,"preexisting,prescription,cost"
128,"We’re offering 15% off to all the healthcare workers fighting the virus 🦠 on the front lines, including doctors, nu… https://t.co/d0nkbRHPTA",2,441,0,"healthcare,prescription"
129,Reinstate laws that protect LGBT people's right to healthcare - Sign the Petition! https://t.co/U8pdZos2uX via @Change,2,2804,0,healthcare
130,"Decline of 322,600 private affordable rental units from 2011 to 2016. Ottawa ended capital gains rollover in 70's B… https://t.co/OZVqx0Ak3S",1,5062,3,"affordable,insurance,preexisting"
131,@AnarchoKhomeini Pretty cool you can start collecting Medicare in a few years!,2,471,1,"medicare,insurance,preexisting,healthcare,coverage,aca,affordable,medicaid"
132,Rd 2 | Parish seals it from the pocket https://t.co/8vOCKauZMz,2,652,0,"affordable,pocket"
133,"If there is an indictment, this is insurance in case Chauvin is convicted. https://t.co/3K1GhXhysU",3,1913,3,"preexisting,insurance"
134,"Larry thinks that Bray should cost Braun the title and have Morrison pin Braun, then run Fiend bs Braun and Morriso… https://t.co/i49jhxCvxK",1,7174,1,cost
135,DiShawnti is completely outta pocket 😂,2,1454,1,"preexisting,pocket"
136,Top 10 Machine Learning Applications in Healthcare by @lemberg_co_uk https://t.co/2OVvxNHqUC,3,887,0,"insurance,preexisting,healthcare"
137,@darrenrovell That shipping cost is totally what’s the killer for the deal here,3,93,2,"cost,preexisting,affordable"
138,"@caitoz .@caitoz
*Tried to decrease funding 4 SS in 1st term
*Created barbaric neolib #ACA bankrupting 660K/yr whil… https://t.co/HwfF5HHiKD",2,739,26,"insurance,preexisting,aca"
139,@GOTConquest Game is trash.  Glitches cost you seats and resources customer support gives you the finger after 5 fi… https://t.co/b7edcXCxW9,1,85,0,"preexisting,cost"
140,"@Dystopia522 The Torys are also planning to roll back trans healthcare, you know that right? Australia’s probably g… https://t.co/R7MRDYnT9L",2,612,25,"healthcare,medicare"
141,@BrendaPerrott @rhysblakely I really do not understand why people in the States object to a national health service… https://t.co/R9b6Qe40US,1,7552,0,"insurance,prescription,preexisting,medicare,medicaid,healthcare,coverage,aca,affordable"
142,Fighting Stigma :  'Covid management calls for active participation of the private sector': Coronavirus infections… https://t.co/TlJlp2fVxc,2,2515,0,affordable
143,"New Agency Search: a person in Hopatcong, NJ is searching for Umbrella insurance.",3,572,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,preexisting"
144,"@MorlockP “The bill is technically an explanation of charges, and because Flor has insurance including Medicare, he… https://t.co/SJTVMevdOK",3,748,4,"preexisting,insurance,medicare"
145,@KTHopkins FIFA 20 is a game? Not Real life? For EA Sports to do that it would cost time &amp; money. This is something… https://t.co/6SKuaB8xPJ,2,214,0,"preexisting,healthcare,insurance,coverage,medicare,aca,affordable,medicaid,cost"
146,"@IowaTitan @iammix24 @LisaChr56994429 @SirajAHashmi Very true, actually. You're aware that truckers work for compan… https://t.co/V9G3zd7PsP",3,210,0,affordable
147,A low monthly payment does not equal AFFORDABLE! 🤦🏾‍♂️,1,33724,293,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
148,"""Fox News removes manipulated images from coverage of Seattle protests""

https://t.co/Aa8NMlqRjc",2,2600,0,coverage
149,"@GSDStax @UK_BleedinBlue @HKrassenstein @cljmo Today, they gerrymander, remove voting places, make it harder for bl… https://t.co/yApFLmheKD",2,3540,1,affordable
150,This is somewhat ignoring the weird problems Elliott and the 11 ran into. Nobody ever figured out what caused the f… https://t.co/taaTriiNix,1,225,0,"preexisting,insurance"
151,Energy 101: Small Modular Reactors #SMR https://t.co/8Ch8VsepEY Yes #Auspol We need #NuclearEnergy for that Reliabl… https://t.co/g1xCzb1EnI,2,78,2,affordable
152,@GOTConquest Game is trash.  Glitches cost you seats and resources customer support gives you the finger after 5 fi… https://t.co/UAeq19Og8w,1,85,0,"preexisting,cost"
153,"@2ishaqkhan @Ibbya7861 Cost us the last game too, Ibby had a stinker",1,845,1,"cost,healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
154,@superboichris @Savajaii I meant my twists cost $300,2,1112,0,"insurance,prescription,preexisting,medicare,medicaid,cost"
155,"As we watch BLM protests fade from the news, I also wonder whether healthcare workers are still wearing garbage bag… https://t.co/HLHZhdK1LF",1,70,0,"insurance,prescription,preexisting,medicare,medicaid,healthcare"
156,@RealKean0 @EngineerTechnik @sjcnj @rhysblakely @DrGrumble And its been shown that some of these prescription compa… https://t.co/8QnWWjXve3,2,58,3,prescription
157,I put a chocolate bar in my pocket but accidentally kept it there for too long and now it’s all melted should I still eat it ???? 😳😳😳,1,949,0,"insurance,prescription,preexisting,medicare,medicaid,healthcare,coverage,aca,affordable,pocket"
158,"Health care is a human right, plain &amp; simple. 
⠀
🚑People shouldn’t have to rely on Emergency Rooms as primary care… https://t.co/HdrE3GI2eY",3,46355,313,"healthcare,medicare,preexisting,insurance,coverage,aca,affordable,medicaid,prescription"
159,@GOTConquest Game is trash.  Glitches cost you seats and resources customer support gives you the finger after 5 fi… https://t.co/B2ekJY9w4q,1,85,0,"preexisting,cost"
160,With nothing in my bank and no job... all I had was my God given skill as a tradesperson. I was employed immediatel… https://t.co/hsDz3fypsg,1,61,0,"insurance,preexisting,prescription,medicare,medicaid,healthcare,coverage,aca,affordable"
161,@rdreynola @CalBrownBear 44M unemployed are living off whatever they had in savings &amp; UE insurance. How many zeroed… https://t.co/9qwkBQZ6W5,2,1285,0,"healthcare,medicare,insurance,preexisting"
162,Got a shotgun in my pocket,2,207,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid,preexisting,pocket"
163,"@gwenmoritz @LuisHasbun @JimRosenz @LeslieRutledge Medicare ""bills"" are very much divorced from reality. But even i… https://t.co/5kDmd2oA8O",2,5736,3,"medicare,healthcare"
164,@LovelyShad0w @Herr_Marder @Kyaandere People complain that if we move to a health care system taxes will go up. Yet… https://t.co/aVda0QM008,1,46,36,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
165,"We can mitigate #pandemic w/o destroying business.

#COVID19 vs #Economy is #FalseChoice.

#WearAMask, #WashHands,… https://t.co/TtYs98Rctt",2,1285,1,preexisting
166,"@Pattttcostta @Crone4life @Patdecmm What does it say on his helmet?
Why doesn't his uniform say POLICE on the sleev… https://t.co/xLfrB9MPRH",2,72,0,"cost,prescription"
167,"""Make eachday your masterpiece""
""Obstacles are the cost of greatness""
""We may Encounter Many Defeats but we must not be defeated""",3,31022,3,"healthcare,medicare,cost"
168,"@nikillinit Is the thought experiment for private insurance? 

Wondering what the incentive might be for wealthier… https://t.co/0pcOCYyH4t",2,83,0,"preexisting,affordable,insurance"
169,"@MerielMyers We were too ""fresh off the boat"" for that, so we had to help buy it and return the bottles for pocket change back.",1,3069,0,"affordable,pocket"
170,I’m talking about my twists cost $300 https://t.co/frDJRz73BB,2,1112,0,cost
171,"@junkelsplitsy No - you’re using two terms that mean different things

The spending increases year over year

Sayin… https://t.co/Pg8q8cuych",1,52,0,coverage
172,To whomever just died on Shoreline and had your teammate stash all your stuff in a hard to get to area thinking you… https://t.co/l2arg92haR,1,470,4,"prescription,insurance,preexisting,healthcare,coverage,medicare,aca,affordable,medicaid"
173,Donald J. Trump: Bring Back Trans Rights in Healthcare - Sign the Petition! https://t.co/bGLWhNRHE3 via @UKChange,2,618,1,"insurance,preexisting,healthcare"
174,@DavutGutman @Bernstein @tomgara Ever notice how much positive coverage Trump gets from that weird news outlet call… https://t.co/6yogxkO3jC,2,231,74,coverage
175,"@Big_Cat74 @RBot0 @mattyglesias It’s a completely fair assessment, but your arguments diminish the fact that the AC… https://t.co/m3TQr4zqoB",3,13,0,"healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
176,i would like to put hyuck in my pocket https://t.co/XqbIjdVO5d,1,213,2,"insurance,prescription,preexisting,medicare,medicaid,pocket"
