headlines,terms,dates
trump can't stop talking about that west point ramp,trump,2020-06-19
trump threatens protesters ahead of tulsa rally,trump,2020-06-19
trump made 192 false claims from may 4 through june 7,trump,2020-06-19
trump's familiar false claims from may 4 to june 7,trump,2020-06-19
how trump plans to turn around his losing campaign,trump,2020-06-19
trump holds first campaign rally since coronavirus pandemic began,trump,2020-06-20
trump holds first campaign rally since coronavirus pandemic began,trump,2020-06-20
trump tempts fate with tulsa rally during pandemic and a national racial reckoning,trump,2020-06-20
"trump holds rally in tulsa, oklahoma",trump,2020-06-20
"for black tulsa residents, the city's racial past and present hover over trump rally",trump,2020-06-20
fact check: trump falsely claims 'insurance reasons' prevented him from entering st. john's church,trump,2020-06-20
stelter: what's good for public health is bad for trump,trump,2020-06-21
opinion: trump gets roasted for tulsa crowd size,trump,2020-06-21
analysis: why trump is already sowing doubts about november's vote,trump,2020-06-21
opinion: donald trump's heartless week,trump,2020-06-21
fact check: trump's tulsa rally littered with familiar false claims,trump,2020-06-21
white house official dismissed the president's coronavirus testing comment as 'tongue in cheek.' but it wasn't trump's first time.,trump,2020-06-21
"jared kushner and ivanka trump 'pissed' at trump campaign manager over his rally crowd size predictions, source says",trump,2020-06-21
sick staff and empty seats: how trump's triumphant return to the campaign trail went from bad to worse,trump,2020-06-21
opinion: trump's tulsa rally was a flop,trump,2020-06-21
white house adviser: trump administration preparing for possible second wave of coronavirus in the fall,trump,2020-06-21
trump's tulsa rally was a flop,trump,2020-06-21
"tulsa official says 6,200 attended trump rally as campaign tries to blame 'radical' protesters and media for lack of crowd",trump,2020-06-21
analysis: why everyone who works for trump should be very nervous right now,trump,2020-06-22
lgbtq groups sue to block trump administration from scrapping transgender health care protections,trump,2020-06-22
trump's 'kidding' on testing exposes his negligence as virus spikes,trump,2020-06-22
trump's removal of hong kong's special status hurts the us more than china,trump,2020-06-22
senate democrats ask hhs watchdog to investigate trump's call to 'slow the testing down',trump,2020-06-22
trump aides debate future size and look of signature rallies after tulsa debacle,trump,2020-06-22
democrats look to weaponize trump's 'slow the testing down' comment,trump,2020-06-22
"5 things to know for june 22: coronavirus, trump, nascar, putin, statue removal",trump,2020-06-22
"fauci, redfield testiy on trump's coronavirus response",trump,2020-06-23
trump's war against mail-in voting lacks republican allies,trump,2020-06-23
the hidden health cost of trump's visa freeze,trump,2020-06-23
joe biden frightens donald trump,trump,2020-06-23
trump's pandemic failing is now directly impacting his campaign,trump,2020-06-23
it's too early to conclude that trump has lost his magic,trump,2020-06-23
"opinion: trump is not 'kidding,' he's lying",trump,2020-06-24
house democrats seek to enhance obamacare ahead of trump push to dismantle the law,trump,2020-06-24
joe biden expected to make new healthcare push after trump's 'slow down the testing' comment,trump,2020-06-24
fauci warns of disturbing trend as trump ignores viral surge,trump,2020-06-24
trump predicts 'most corrupt election' in us history while making false claims about mail-in voting,trump,2020-06-24
madison cawthorn is the young political newcomer who beat trump's pick in north carolina,trump,2020-06-24
"don lemon: if you value your health, don't believe trump",trump,2020-06-25
biden says trump's 'senseless crusade' to end obamacare would harm those with coronavirus,trump,2020-06-25
trump is desperate -- and dangerous,trump,2020-06-25
trump entrenched in failed strategy as virus surges and polling drops,trump,2020-06-25
trump is not just in denial but also indifferent to an unfolding american tragedy,trump,2020-06-25
dozens of secret service agents will be quarantined after trump's tulsa rally,trump,2020-06-25
trump administration open to a second round of stimulus payments. here's what that could look like,trump,2020-06-25
texas delegation urges trump administration to keep funding testing sites as hot spots break out,trump,2020-06-25
trump won't follow new jersey quarantine mandate during upcoming trip,trump,2020-06-25
analysis: what is trump's agenda for a second term? he can't say,trump,2020-06-26
trump administration asks supreme court to invalidate obamacare,trump,2020-06-26
witness in the mueller investigation and informal trump adviser gets 10 years in prison in child sex case,trump,2020-06-26
"by blocking visas for foreign workers, trump is further hurting the us economy",trump,2020-06-26
"fact check: trump falsely claims biden, who has committed to the debates, is trying to get out of debating",trump,2020-06-26
"fact check: trump falsely claims biden, who has committed to the debates, is trying to get out of debating",trump,2020-06-26
panicking trump tries to change the subject,trump,2020-06-27
trump's effort to dismantle obamacare during the pandemic might be his riskiest move yet,trump,2020-06-27
washington post: trump campaign had social distancing stickers removed before tulsa rally,trump,2020-06-27
measures to protect trump from coronavirus scale up even as he seeks to move on,trump,2020-06-27
