,year,state_fips,state,economy,environment,health,immigration
18,2016,17,US-KY,DT,DT,DT,DT
19,2016,18,US-LA,DT,DT,HC,DT
20,2016,19,US-ME,HC,HC,HC,HC
21,2016,20,US-MD,HC,HC,HC,HC
22,2016,21,US-MA,HC,HC,HC,HC
23,2016,22,US-MI,HC,HC,HC,HC
24,2016,23,US-MN,HC,HC,HC,HC
25,2016,24,US-MS,HC,HC,HC,HC
26,2016,25,US-MO,DT,DT,DT,DT
27,2016,26,US-MT,HC,HC,HC,HC
28,2016,27,US-NE,HC,HC,HC,HC
29,2016,28,US-NV,DT,DT,HC,DT
30,2016,29,US-NH,HC,HC,HC,HC
31,2016,30,US-NJ,HC,HC,HC,HC
32,2016,31,US-NM,HC,HC,HC,HC
33,2016,32,US-NY,HC,HC,HC,HC
34,2016,33,US-NC,HC,HC,HC,DT
35,2016,34,US-ND,HC,HC,HC,HC
36,2016,35,US-OH,DT,DT,DT,DT
37,2016,36,US-OK,DT,DT,DT,DT
38,2016,37,US-OR,HC,HC,HC,HC
39,2016,38,US-PA,HC,HC,HC,HC
40,2016,39,US-RI,HC,HC,HC,HC
41,2016,40,US-SC,DT,DT,DT,DT
42,2016,41,US-SD,HC,HC,HC,HC
43,2016,42,US-TN,DT,DT,HC,DT
44,2016,43,US-TX,HC,HC,HC,HC
45,2016,44,US-UT,HC,HC,HC,HC
46,2016,45,US-VT,HC,HC,HC,HC
47,2016,46,US-VA,HC,HC,HC,HC
48,2016,47,US-WA,HC,HC,HC,HC
49,2016,48,US-WV,HC,HC,HC,HC
50,2016,49,US-WI,DT,DT,DT,DT
51,2016,50,US-WY,HC,HC,HC,HC
0,2012,-1,US,BO,BO,BO,BO
1,2012,0,US-AL,BO,BO,BO,BO
2,2012,1,US-AK,MR,MR,MR,MR
3,2012,2,US-AZ,BO,BO,BO,BO
4,2012,3,US-AR,BO,BO,BO,BO
5,2012,4,US-CA,BO,BO,BO,BO
6,2012,5,US-CO,BO,BO,BO,BO
7,2012,6,US-CT,BO,BO,BO,BO
8,2012,7,US-DE,MR,MR,MR,MR
9,2012,8,US-DC,BO,BO,BO,BO
10,2012,9,US-FL,MR,MR,BO,BO
11,2012,10,US-GA,BO,BO,BO,BO
12,2012,11,US-HI,BO,BO,BO,BO
13,2012,12,US-ID,MR,MR,MR,MR
14,2012,13,US-IL,BO,BO,BO,MR
15,2012,14,US-IN,BO,BO,BO,BO
16,2012,15,US-IA,BO,BO,BO,BO
17,2012,16,US-KS,BO,BO,BO,BO
18,2012,17,US-KY,BO,BO,BO,BO
19,2012,18,US-LA,BO,BO,BO,BO
20,2012,19,US-ME,MR,MR,MR,MR
21,2012,20,US-MD,MR,MR,BO,MR
22,2012,21,US-MA,BO,BO,BO,BO
23,2012,22,US-MI,BO,BO,BO,BO
24,2012,23,US-MN,BO,BO,BO,BO
25,2012,24,US-MS,MR,MR,MR,MR
26,2012,25,US-MO,BO,BO,BO,BO
27,2012,26,US-MT,MR,MR,MR,MR
28,2012,27,US-NE,BO,BO,BO,BO
29,2012,28,US-NV,MR,MR,BO,BO
30,2012,29,US-NH,MR,MR,MR,BO
31,2012,30,US-NJ,BO,BO,BO,BO
32,2012,31,US-NM,BO,BO,BO,MR
33,2012,32,US-NY,BO,BO,BO,BO
34,2012,33,US-NC,BO,BO,BO,BO
35,2012,34,US-ND,MR,MR,MR,MR
36,2012,35,US-OH,BO,BO,BO,BO
37,2012,36,US-OK,BO,BO,BO,BO
38,2012,37,US-OR,BO,BO,BO,BO
39,2012,38,US-PA,BO,BO,BO,BO
40,2012,39,US-RI,MR,MR,MR,MR
41,2012,40,US-SC,BO,BO,BO,BO
42,2012,41,US-SD,MR,MR,MR,MR
43,2012,42,US-TN,BO,BO,BO,BO
44,2012,43,US-TX,BO,BO,BO,BO
45,2012,44,US-UT,BO,BO,MR,BO
46,2012,45,US-VT,MR,MR,MR,MR
47,2012,46,US-VA,BO,BO,BO,BO
48,2012,47,US-WA,BO,BO,BO,BO
49,2012,48,US-WV,MR,MR,MR,MR
50,2012,49,US-WI,BO,BO,BO,BO
51,2012,50,US-WY,MR,MR,MR,MR
