FIPS,ID,area_name,Unemployment_Rate
4015,20004015,"Mohave County, AZ",4.4
4017,20004017,"Navajo County, AZ",7.2
4019,20004019,"Pima County, AZ",3.7
4021,20004021,"Pinal County, AZ",4.6
4023,20004023,"Santa Cruz County, AZ",8.2
4025,20004025,"Yavapai County, AZ",4
4027,20004027,"Yuma County, AZ",16.4
5000,20005000,Arkansas,4.3
5001,20005001,"Arkansas County, AR",4.6
5003,20005003,"Ashley County, AR",5.9
5005,20005005,"Baxter County, AR",4.2
5007,20005007,"Benton County, AR",2.8
5009,20005009,"Boone County, AR",4.2
5011,20005011,"Bradley County, AR",6.5
5013,20005013,"Calhoun County, AR",5.5
5015,20005015,"Carroll County, AR",3.9
5017,20005017,"Chicot County, AR",7.4
5019,20005019,"Clark County, AR",4.3
5021,20005021,"Clay County, AR",5.4
5023,20005023,"Cleburne County, AR",4.5
5025,20005025,"Cleveland County, AR",5
5027,20005027,"Columbia County, AR",5.2
5029,20005029,"Conway County, AR",6.1
5031,20005031,"Craighead County, AR",4
5033,20005033,"Crawford County, AR",3.6
5035,20005035,"Crittenden County, AR",4.2
5037,20005037,"Cross County, AR",4.7
5039,20005039,"Dallas County, AR",5.6
5041,20005041,"Desha County, AR",8.2
5043,20005043,"Drew County, AR",6
5045,20005045,"Faulkner County, AR",3.6
5047,20005047,"Franklin County, AR",3.4
5049,20005049,"Fulton County, AR",3.9
5051,20005051,"Garland County, AR",4.3
5053,20005053,"Grant County, AR",4
5055,20005055,"Greene County, AR",4.8
5057,20005057,"Hempstead County, AR",4.6
5059,20005059,"Hot Spring County, AR",4.3
5061,20005061,"Howard County, AR",4.3
5063,20005063,"Independence County, AR",4.9
5065,20005065,"Izard County, AR",4.7
5067,20005067,"Jackson County, AR",7.6
5069,20005069,"Jefferson County, AR",5.8
5071,20005071,"Johnson County, AR",4.2
5073,20005073,"Lafayette County, AR",6
5075,20005075,"Lawrence County, AR",5.3
5077,20005077,"Lee County, AR",7.5
5079,20005079,"Lincoln County, AR",6.2
5081,20005081,"Little River County, AR",4.6
5083,20005083,"Logan County, AR",4.1
5085,20005085,"Lonoke County, AR",3.3
5087,20005087,"Madison County, AR",3.1
5089,20005089,"Marion County, AR",3.9
5091,20005091,"Miller County, AR",4.5
5093,20005093,"Mississippi County, AR",7.8
5095,20005095,"Monroe County, AR",5.1
5097,20005097,"Montgomery County, AR",4.1
5099,20005099,"Nevada County, AR",4.8
5101,20005101,"Newton County, AR",4.3
5103,20005103,"Ouachita County, AR",5.9
5105,20005105,"Perry County, AR",5
5107,20005107,"Phillips County, AR",6.2
5109,20005109,"Pike County, AR",4.2
5111,20005111,"Poinsett County, AR",4.8
5113,20005113,"Polk County, AR",4.1
5115,20005115,"Pope County, AR",4.3
5117,20005117,"Prairie County, AR",4.4
5119,20005119,"Pulaski County, AR",3.8
5121,20005121,"Randolph County, AR",5.3
5123,20005123,"St. Francis County, AR",7
5125,20005125,"Saline County, AR",3.3
5127,20005127,"Scott County, AR",3.5
5129,20005129,"Searcy County, AR",5
5131,20005131,"Sebastian County, AR",3.4
5133,20005133,"Sevier County, AR",3.8
5135,20005135,"Sharp County, AR",5.3
5137,20005137,"Stone County, AR",4.4
5139,20005139,"Union County, AR",4.8
5141,20005141,"Van Buren County, AR",5.4
5143,20005143,"Washington County, AR",3
5145,20005145,"White County, AR",4.8
5147,20005147,"Woodruff County, AR",6.3
5149,20005149,"Yell County, AR",4
6000,20006000,California,4.9
6001,20006001,"Alameda County, CA",3.6
6003,20006003,"Alpine County, CA",6.3
6005,20006005,"Amador County, CA",5.2
6007,20006007,"Butte County, CA",6.2
6009,20006009,"Calaveras County, CA",5.6
6011,20006011,"Colusa County, CA",11.6
6013,20006013,"Contra Costa County, CA",3.6
6015,20006015,"Del Norte County, CA",7.4
6017,20006017,"El Dorado County, CA",4.1
6019,20006019,"Fresno County, CA",10.4
6021,20006021,"Glenn County, CA",8.5
6023,20006023,"Humboldt County, CA",5.8
6025,20006025,"Imperial County, CA",17.5
6027,20006027,"Inyo County, CA",4.7
6029,20006029,"Kern County, CA",8.3
6031,20006031,"Kings County, CA",10
6033,20006033,"Lake County, CA",7.3
6035,20006035,"Lassen County, CA",7.2
6037,20006037,"Los Angeles County, CA",5.4
6039,20006039,"Madera County, CA",8.7
6041,20006041,"Marin County, CA",2.9
6043,20006043,"Mariposa County, CA",6.2
6045,20006045,"Mendocino County, CA",5.6
6047,20006047,"Merced County, CA",9.6
6049,20006049,"Modoc County, CA",7.5
6051,20006051,"Mono County, CA",4.7
6053,20006053,"Monterey County, CA",7.4
6055,20006055,"Napa County, CA",3.6
6057,20006057,"Nevada County, CA",4.2
6059,20006059,"Orange County, CA",3.5
6061,20006061,"Placer County, CA",3.6
6063,20006063,"Plumas County, CA",7.1
6065,20006065,"Riverside County, CA",5.4
6067,20006067,"Sacramento County, CA",4.3
6069,20006069,"San Benito County, CA",6
6071,20006071,"San Bernardino County, CA",4.8
6073,20006073,"San Diego County, CA",3.9
6075,20006075,"San Francisco County/city, CA",3.4
6077,20006077,"San Joaquin County, CA",7
6079,20006079,"San Luis Obispo County, CA",4
6081,20006081,"San Mateo County, CA",2.9
6083,20006083,"Santa Barbara County, CA",4.4
6085,20006085,"Santa Clara County, CA",3.1
6087,20006087,"Santa Cruz County, CA",5.1
6089,20006089,"Shasta County, CA",6.1
6091,20006091,"Sierra County, CA",5.9
6093,20006093,"Siskiyou County, CA",7.5
6095,20006095,"Solano County, CA",4.6
6097,20006097,"Sonoma County, CA",3.4
6099,20006099,"Stanislaus County, CA",7.8
6101,20006101,"Sutter County, CA",9.4
6103,20006103,"Tehama County, CA",6.5
6105,20006105,"Trinity County, CA",9.8
6107,20006107,"Tulare County, CA",10.4
6109,20006109,"Tuolumne County, CA",5.9
6111,20006111,"Ventura County, CA",4.5
6113,20006113,"Yolo County, CA",5
6115,20006115,"Yuba County, CA",8
8000,20008000,Colorado,2.8
8001,20008001,"Adams County, CO",2.8
8003,20008003,"Alamosa County, CO",3.6
8005,20008005,"Arapahoe County, CO",2.4
8007,20008007,"Archuleta County, CO",3.2
8009,20008009,"Baca County, CO",2.9
8011,20008011,"Bent County, CO",3.9
8013,20008013,"Boulder County, CO",2.4
8014,20008014,"Broomfield County/city, CO",2.4
8015,20008015,"Chaffee County, CO",3.3
8017,20008017,"Cheyenne County, CO",2.6
8019,20008019,"Clear Creek County, CO",2.7
8021,20008021,"Conejos County, CO",5.1
8023,20008023,"Costilla County, CO",7.5
8025,20008025,"Crowley County, CO",5.4
8027,20008027,"Custer County, CO",3.4
8029,20008029,"Delta County, CO",3.7
8031,20008031,"Denver County/city, CO",3
8033,20008033,"Dolores County, CO",5.6
8035,20008035,"Douglas County, CO",2.1
8037,20008037,"Eagle County, CO",2.4
8039,20008039,"Elbert County, CO",2.3
8041,20008041,"El Paso County, CO",2.9
8043,20008043,"Fremont County, CO",3.9
8045,20008045,"Garfield County, CO",2.7
8047,20008047,"Gilpin County, CO",2.5
8049,20008049,"Grand County, CO",2.5
8051,20008051,"Gunnison County, CO",2.8
8053,20008053,"Hinsdale County, CO",2
8055,20008055,"Huerfano County, CO",5.6
8057,20008057,"Jackson County, CO",2.8
8059,20008059,"Jefferson County, CO",2.4
8061,20008061,"Kiowa County, CO",3.1
8063,20008063,"Kit Carson County, CO",2.6
8065,20008065,"Lake County, CO",3.4
8067,20008067,"La Plata County, CO",2.9
8069,20008069,"Larimer County, CO",2.5
8071,20008071,"Las Animas County, CO",4.2
8073,20008073,"Lincoln County, CO",2.8
8075,20008075,"Logan County, CO",2.9
8077,20008077,"Mesa County, CO",3.3
8079,20008079,"Mineral County, CO",3.6
8081,20008081,"Moffat County, CO",3.6
8083,20008083,"Montezuma County, CO",4.2
8085,20008085,"Montrose County, CO",3.7
8087,20008087,"Morgan County, CO",3
8089,20008089,"Otero County, CO",4.4
8091,20008091,"Ouray County, CO",2.6
8093,20008093,"Park County, CO",2.6
8095,20008095,"Phillips County, CO",2.6
8097,20008097,"Pitkin County, CO",2.8
8099,20008099,"Prowers County, CO",2.9
8101,20008101,"Pueblo County, CO",4
8103,20008103,"Rio Blanco County, CO",2.9
8105,20008105,"Rio Grande County, CO",4.5
8107,20008107,"Routt County, CO",2.5
8109,20008109,"Saguache County, CO",5.6
8111,20008111,"San Juan County, CO",4.7
8113,20008113,"San Miguel County, CO",3
8115,20008115,"Sedgwick County, CO",2.7
8117,20008117,"Summit County, CO",2.3
8119,20008119,"Teller County, CO",3
8121,20008121,"Washington County, CO",2.6
8123,20008123,"Weld County, CO",2.7
8125,20008125,"Yuma County, CO",2.6
9000,20009000,Connecticut,2.4
9001,20009001,"Fairfield County, CT",2.1
9003,20009003,"Hartford County, CT",2.6
9005,20009005,"Litchfield County, CT",2.1
9007,20009007,"Middlesex County, CT",2.1
9009,20009009,"New Haven County, CT",2.6
9011,20009011,"New London County, CT",2.4
9013,20009013,"Tolland County, CT",1.9
9015,20009015,"Windham County, CT",2.7
10000,200010000,Delaware,3.7
10001,200010001,"Kent County, DE",4
10003,200010003,"New Castle County, DE",3.6
10005,200010005,"Sussex County, DE",3.9
11000,200011000,District of Columbia,5.6
11001,200011001,District of Columbia,5.6
12000,200012000,Florida,3.7
12001,200012001,"Alachua County, FL",3
12003,200012003,"Baker County, FL",3
12005,200012005,"Bay County, FL",4.6
12007,200012007,"Bradford County, FL",3.8
12009,200012009,"Brevard County, FL",3.6
12011,200012011,"Broward County, FL",3.6
12013,200012013,"Calhoun County, FL",4.7
12015,200012015,"Charlotte County, FL",3.7
12017,200012017,"Citrus County, FL",4.7
12019,200012019,"Clay County, FL",3
12021,200012021,"Collier County, FL",3.7
12023,200012023,"Columbia County, FL",3.9
12027,200012027,"DeSoto County, FL",4.5
12029,200012029,"Dixie County, FL",4.5
12031,200012031,"Duval County, FL",3.3
12033,200012033,"Escambia County, FL",4
12035,200012035,"Flagler County, FL",3.6
12037,200012037,"Franklin County, FL",3.9
12039,200012039,"Gadsden County, FL",4
12041,200012041,"Gilchrist County, FL",3.6
12043,200012043,"Glades County, FL",4.7
12045,200012045,"Gulf County, FL",6
12047,200012047,"Hamilton County, FL",5.3
12049,200012049,"Hardee County, FL",5.9
12051,200012051,"Hendry County, FL",7.2
12053,200012053,"Hernando County, FL",4.4
12055,200012055,"Highlands County, FL",4.8
12057,200012057,"Hillsborough County, FL",3.3
12059,200012059,"Holmes County, FL",4.8
12061,200012061,"Indian River County, FL",5.1
12063,200012063,"Jackson County, FL",4.6
12065,200012065,"Jefferson County, FL",3.7
12067,200012067,"Lafayette County, FL",4.1
12069,200012069,"Lake County, FL",3.6
12071,200012071,"Lee County, FL",3.2
12073,200012073,"Leon County, FL",3.1
12075,200012075,"Levy County, FL",3.9
12077,200012077,"Liberty County, FL",4.2
12079,200012079,"Madison County, FL",4.1
12081,200012081,"Manatee County, FL",3.2
12083,200012083,"Marion County, FL",4.1
12085,200012085,"Martin County, FL",4.2
12086,200012086,"Miami-Dade County, FL",4.3
12087,200012087,"Monroe County, FL",2.9
12089,200012089,"Nassau County, FL",3.3
12091,200012091,"Okaloosa County, FL",3.7
12093,200012093,"Okeechobee County, FL",5.4
12095,200012095,"Orange County, FL",3.1
12097,200012097,"Osceola County, FL",3.3
12099,200012099,"Palm Beach County, FL",4.2
12101,200012101,"Pasco County, FL",3.7
12103,200012103,"Pinellas County, FL",3.3
12105,200012105,"Polk County, FL",4.1
12107,200012107,"Putnam County, FL",4.3
12109,200012109,"St. Johns County, FL",3
12111,200012111,"St. Lucie County, FL",5.8
12113,200012113,"Santa Rosa County, FL",3.8
12115,200012115,"Sarasota County, FL",3.2
12117,200012117,"Seminole County, FL",3
12119,200012119,"Sumter County, FL",4.3
12121,200012121,"Suwannee County, FL",3.6
12123,200012123,"Taylor County, FL",4.9
12125,200012125,"Union County, FL",4.4
12127,200012127,"Volusia County, FL",3.4
12129,200012129,"Wakulla County, FL",3.2
12131,200012131,"Walton County, FL",3.5
12133,200012133,"Washington County, FL",4.5
13000,200013000,Georgia,3.6
13001,200013001,"Appling County, GA",5.5
13003,200013003,"Atkinson County, GA",5.4
13005,200013005,"Bacon County, GA",4.6
13007,200013007,"Baker County, GA",4.3
13009,200013009,"Baldwin County, GA",4.9
13011,200013011,"Banks County, GA",3.1
13013,200013013,"Barrow County, GA",3
13015,200013015,"Bartow County, GA",3.7
13017,200013017,"Ben Hill County, GA",4.9
13019,200013019,"Berrien County, GA",4
13021,200013021,"Bibb County, GA",4.4
13023,200013023,"Bleckley County, GA",4.3
13025,200013025,"Brantley County, GA",4.2
13027,200013027,"Brooks County, GA",4.7
13029,200013029,"Bryan County, GA",3.2
13031,200013031,"Bulloch County, GA",3.9
13033,200013033,"Burke County, GA",5.1
13035,200013035,"Butts County, GA",4.6
13037,200013037,"Calhoun County, GA",6.6
13039,200013039,"Camden County, GA",3.7
13043,200013043,"Candler County, GA",4.7
13045,200013045,"Carroll County, GA",3.8
13047,200013047,"Catoosa County, GA",2.7
13049,200013049,"Charlton County, GA",4.2
13051,200013051,"Chatham County, GA",3.6
13053,200013053,"Chattahoochee County, GA",8.3
13055,200013055,"Chattooga County, GA",3.8
13057,200013057,"Cherokee County, GA",2.6
13059,200013059,"Clarke County, GA",3.5
13061,200013061,"Clay County, GA",5.6
13063,200013063,"Clayton County, GA",3.4
13065,200013065,"Clinch County, GA",5.4
13067,200013067,"Cobb County, GA",2.8
13069,200013069,"Coffee County, GA",4.7
13071,200013071,"Colquitt County, GA",4.7
13073,200013073,"Columbia County, GA",2.9
13075,200013075,"Cook County, GA",4.6
13077,200013077,"Coweta County, GA",3.3
13079,200013079,"Crawford County, GA",4
13081,200013081,"Crisp County, GA",4.7
13083,200013083,"Dade County, GA",3
13085,200013085,"Dawson County, GA",2.7
13087,200013087,"Decatur County, GA",4.6
13089,200013089,"DeKalb County, GA",3.3
13091,200013091,"Dodge County, GA",4.8
13093,200013093,"Dooly County, GA",4.8
13095,200013095,"Dougherty County, GA",5.3
13097,200013097,"Douglas County, GA",3
13099,200013099,"Early County, GA",5.1
13101,200013101,"Echols County, GA",3.5
13103,200013103,"Effingham County, GA",3.2
13105,200013105,"Elbert County, GA",5.3
13107,200013107,"Emanuel County, GA",5.7
13109,200013109,"Evans County, GA",4.4
13111,200013111,"Fannin County, GA",3.9
13113,200013113,"Fayette County, GA",2.7
13115,200013115,"Floyd County, GA",3.9
13117,200013117,"Forsyth County, GA",2.4
13119,200013119,"Franklin County, GA",4
13121,200013121,"Fulton County, GA",3.5
13123,200013123,"Gilmer County, GA",3.4
13125,200013125,"Glascock County, GA",4.1
13127,200013127,"Glynn County, GA",3.6
13129,200013129,"Gordon County, GA",3.4
13131,200013131,"Grady County, GA",4.5
13133,200013133,"Greene County, GA",4.5
13135,200013135,"Gwinnett County, GA",2.8
13137,200013137,"Habersham County, GA",3.5
13139,200013139,"Hall County, GA",3
13141,200013141,"Hancock County, GA",7.9
13143,200013143,"Haralson County, GA",3.6
13145,200013145,"Harris County, GA",3.2
13147,200013147,"Hart County, GA",4
13149,200013149,"Heard County, GA",4
13151,200013151,"Henry County, GA",2.7
13153,200013153,"Houston County, GA",3.4
13155,200013155,"Irwin County, GA",4.7
13157,200013157,"Jackson County, GA",3.2
13159,200013159,"Jasper County, GA",3.3
13161,200013161,"Jeff Davis County, GA",4.7
13163,200013163,"Jefferson County, GA",6.8
13165,200013165,"Jenkins County, GA",5.4
13167,200013167,"Johnson County, GA",6.1
13169,200013169,"Jones County, GA",3.9
13171,200013171,"Lamar County, GA",4.5
13173,200013173,"Lanier County, GA",5
13175,200013175,"Laurens County, GA",4.6
13177,200013177,"Lee County, GA",3.5
13179,200013179,"Liberty County, GA",5.3
13181,200013181,"Lincoln County, GA",5.8
13183,200013183,"Long County, GA",3.7
13185,200013185,"Lowndes County, GA",4.5
13187,200013187,"Lumpkin County, GA",3
13189,200013189,"McDuffie County, GA",4.5
13191,200013191,"McIntosh County, GA",4.3
13193,200013193,"Macon County, GA",6.7
13195,200013195,"Madison County, GA",3.3
13197,200013197,"Marion County, GA",4
13199,200013199,"Meriwether County, GA",4.6
13201,200013201,"Miller County, GA",4.2
13205,200013205,"Mitchell County, GA",5.2
13207,200013207,"Monroe County, GA",3.7
13209,200013209,"Montgomery County, GA",5.8
13211,200013211,"Morgan County, GA",3.5
13213,200013213,"Murray County, GA",3.4
13215,200013215,"Muscogee County, GA",4.8
13217,200013217,"Newton County, GA",3.3
13219,200013219,"Oconee County, GA",2.6
13221,200013221,"Oglethorpe County, GA",3.1
13223,200013223,"Paulding County, GA",2.7
13225,200013225,"Peach County, GA",4.6
13227,200013227,"Pickens County, GA",3
13229,200013229,"Pierce County, GA",4.1
13231,200013231,"Pike County, GA",3.7
13233,200013233,"Polk County, GA",4.1
13235,200013235,"Pulaski County, GA",4.1
13237,200013237,"Putnam County, GA",3.6
13239,200013239,"Quitman County, GA",6.4
13241,200013241,"Rabun County, GA",3.2
13243,200013243,"Randolph County, GA",6
13245,200013245,"Richmond County, GA",4.5
13247,200013247,"Rockdale County, GA",3.1
13249,200013249,"Schley County, GA",4.1
13251,200013251,"Screven County, GA",5
13253,200013253,"Seminole County, GA",5
13255,200013255,"Spalding County, GA",4.3
13257,200013257,"Stephens County, GA",3.6
13259,200013259,"Stewart County, GA",5.5
13261,200013261,"Sumter County, GA",4.2
13263,200013263,"Talbot County, GA",5.5
13265,200013265,"Taliaferro County, GA",5.2
13267,200013267,"Tattnall County, GA",5.8
13269,200013269,"Taylor County, GA",5.3
13271,200013271,"Telfair County, GA",7.8
13273,200013273,"Terrell County, GA",5.3
13275,200013275,"Thomas County, GA",4.3
13277,200013277,"Tift County, GA",4.2
13279,200013279,"Toombs County, GA",6.6
13281,200013281,"Towns County, GA",4.4
13283,200013283,"Treutlen County, GA",7.9
13285,200013285,"Troup County, GA",3.6
13287,200013287,"Turner County, GA",5.6
13289,200013289,"Twiggs County, GA",4.5
13291,200013291,"Union County, GA",4
13293,200013293,"Upson County, GA",5.1
13295,200013295,"Walker County, GA",3.6
13297,200013297,"Walton County, GA",3.2
13299,200013299,"Ware County, GA",5.1
13301,200013301,"Warren County, GA",5.6
13303,200013303,"Washington County, GA",4.8
13305,200013305,"Wayne County, GA",5
13307,200013307,"Webster County, GA",3.8
13309,200013309,"Wheeler County, GA",6.3
13311,200013311,"White County, GA",3.6
13313,200013313,"Whitfield County, GA",3.6
13315,200013315,"Wilcox County, GA",4.8
13317,200013317,"Wilkes County, GA",4.7
13319,200013319,"Wilkinson County, GA",4.3
13321,200013321,"Worth County, GA",4.4
15000,200015000,Hawaii,4.2
15001,200015001,"Hawaii County, HI",5
15003,200015003,"Honolulu County/city, HI",4.1
15007,200015007,"Kauai County, HI",4.8
15009,200015009,"Maui County, HI",3.9
16000,200016000,Idaho,4.7
16001,200016001,"Ada County, ID",3.4
16003,200016003,"Adams County, ID",10
16005,200016005,"Bannock County, ID",4.7
16007,200016007,"Bear Lake County, ID",4.9
16009,200016009,"Benewah County, ID",11.1
16011,200016011,"Bingham County, ID",4.4
16013,200016013,"Blaine County, ID",3.6
16015,200016015,"Boise County, ID",4.9
16017,200016017,"Bonner County, ID",7.7
16019,200016019,"Bonneville County, ID",3.4
16021,200016021,"Boundary County, ID",7.7
16023,200016023,"Butte County, ID",4.4
16025,200016025,"Camas County, ID",3.7
16027,200016027,"Canyon County, ID",4.5
16029,200016029,"Caribou County, ID",5.1
16031,200016031,"Cassia County, ID",5
16033,200016033,"Clark County, ID",5.3
16035,200016035,"Clearwater County, ID",13.2
16037,200016037,"Custer County, ID",5.6
16039,200016039,"Elmore County, ID",5.7
16041,200016041,"Franklin County, ID",3.2
16043,200016043,"Fremont County, ID",4.8
16045,200016045,"Gem County, ID",5.1
16047,200016047,"Gooding County, ID",3.8
16049,200016049,"Idaho County, ID",8.4
16051,200016051,"Jefferson County, ID",3.8
16053,200016053,"Jerome County, ID",4.4
16055,200016055,"Kootenai County, ID",6.3
16057,200016057,"Latah County, ID",4.3
16059,200016059,"Lemhi County, ID",8
16061,200016061,"Lewis County, ID",6.5
16063,200016063,"Lincoln County, ID",4.4
16065,200016065,"Madison County, ID",3.5
16067,200016067,"Minidoka County, ID",5.7
16069,200016069,"Nez Perce County, ID",5.2
16071,200016071,"Oneida County, ID",3.4
16073,200016073,"Owyhee County, ID",3.9
16075,200016075,"Payette County, ID",6.8
16077,200016077,"Power County, ID",5.8
16079,200016079,"Shoshone County, ID",9.9
16081,200016081,"Teton County, ID",3
16083,200016083,"Twin Falls County, ID",4.2
16085,200016085,"Valley County, ID",6.7
16087,200016087,"Washington County, ID",6.8
17000,200017000,Illinois,4.3
17001,200017001,"Adams County, IL",3.5
17003,200017003,"Alexander County, IL",7.2
17005,200017005,"Bond County, IL",4.1
17007,200017007,"Boone County, IL",4.5
17009,200017009,"Brown County, IL",3.2
17011,200017011,"Bureau County, IL",4.6
17013,200017013,"Calhoun County, IL",5.1
17015,200017015,"Carroll County, IL",5.4
17017,200017017,"Cass County, IL",4.3
17019,200017019,"Champaign County, IL",3.2
17021,200017021,"Christian County, IL",5
17023,200017023,"Clark County, IL",4.6
17025,200017025,"Clay County, IL",5.6
17027,200017027,"Clinton County, IL",3.5
17029,200017029,"Coles County, IL",3.9
17031,200017031,"Cook County, IL",4.8
17033,200017033,"Crawford County, IL",5.3
17035,200017035,"Cumberland County, IL",4.5
17037,200017037,"DeKalb County, IL",3.3
17039,200017039,"De Witt County, IL",5.1
17041,200017041,"Douglas County, IL",3.7
17043,200017043,"DuPage County, IL",3.3
17045,200017045,"Edgar County, IL",4.2
17047,200017047,"Edwards County, IL",4.9
17049,200017049,"Effingham County, IL",4.1
17051,200017051,"Fayette County, IL",5.8
17053,200017053,"Ford County, IL",3.5
17055,200017055,"Franklin County, IL",6.4
17057,200017057,"Fulton County, IL",5.2
17059,200017059,"Gallatin County, IL",5.7
17061,200017061,"Greene County, IL",5
17063,200017063,"Grundy County, IL",5.2
17065,200017065,"Hamilton County, IL",4.7
17067,200017067,"Hancock County, IL",4.2
17069,200017069,"Hardin County, IL",6.2
17071,200017071,"Henderson County, IL",3.8
17073,200017073,"Henry County, IL",4.5
17075,200017075,"Iroquois County, IL",4
17077,200017077,"Jackson County, IL",4.1
17079,200017079,"Jasper County, IL",4.7
17081,200017081,"Jefferson County, IL",5
17083,200017083,"Jersey County, IL",4.2
17085,200017085,"Jo Daviess County, IL",4
17087,200017087,"Johnson County, IL",5.8
17089,200017089,"Kane County, IL",4
17091,200017091,"Kankakee County, IL",4.3
17093,200017093,"Kendall County, IL",3.3
17095,200017095,"Knox County, IL",4.5
17097,200017097,"Lake County, IL",3.4
17099,200017099,"LaSalle County, IL",5
17101,200017101,"Lawrence County, IL",5.2
17103,200017103,"Lee County, IL",4
17105,200017105,"Livingston County, IL",3.6
17107,200017107,"Logan County, IL",3.7
17109,200017109,"McDonough County, IL",4
